time,DevID,Name,Description,battery_level,co2,humidity,temperature
"2025-11-24T01:25:11.324Z","24E124725E330630","Dépot 2 - 7","Bâtiment 7",87,468,57,13.4
"2025-11-24T01:25:42.653Z","24E124725E330427","Sanitaire - 9","Batiment 3",93,497,42.5,18.3
"2025-11-24T01:25:42.993Z","24E124725E330286","Classe 7","Batiment 5",93,335,43.5,16.2
"2025-11-24T01:26:08.784Z","24E124725E331496","Classe 14","Batiment 5",93,436,44,16
"2025-11-24T01:26:09.922Z","24E124725E330532","Reserve - 11","Batiment 2",99,346,50.5,16.1
"2025-11-24T01:26:34.351Z","24E124725E330620","Degagement 3 - 2","Batiment 2",99,388,43,16.4
"2025-11-24T01:27:10.102Z","24E124725E330753","SAM Prof 1 ","Batiment 3",99,419,47.5,17.2
"2025-11-24T01:27:12.014Z","24E124725E331183","WC Personnel -- 20","Batiment 2",99,286,50.5,16
"2025-11-24T01:27:13.733Z","24E124725E331235","Sanitaire RDC - 5 ","Batiment 5",98,410,47.5,16.2
"2025-11-24T01:27:43.512Z","24E124725E330953","CDI","Batiment 3",93,418,45,15.6
"2025-11-24T01:28:37.858Z","24E124725E330612","Classe 3","Batiment 5",93,178,41,19.2
"2025-11-24T01:28:38.242Z","24E124725E330210","Vie scolaire - 3","Batiment 4",99,483,41.5,17
"2025-11-24T01:28:40.395Z","24E124725E331366","Classe 6","Batiment 5",93,367,42,16.8
"2025-11-24T01:29:11.922Z","24E124725E331241","Classe 17","Bâtiment 6",87,433,52,15.6
"2025-11-24T01:29:14.093Z","24E124725E331208","Classe 9","Batiment 5",92,443,41,17.1
"2025-11-24T01:29:40.562Z","24E124725E331402","Sanitaires Dames 1E - 6 ","Bâtiment 6",87,446,53,15.5
"2025-11-24T01:30:13.322Z","24E124725E330429","Labo - 10","Batiment 1",93,273,51.5,15.9
"2025-11-24T01:30:40.592Z","24E124725E330537","Infirmerie ","Batiment 3",93,347,47.5,15.7
"2025-11-24T01:30:42.636Z","24E124725E331335","Atelier - 7","Batiment 4",93,296,52,14.7
"2025-11-24T01:31:09.783Z","24E124725E338893","Direction - 26","Batiment 3",93,374,45,14.8
"2025-11-24T01:31:13.301Z","24E124725E330011","WC - 12","Batiment 1",93,568,53.5,16.6
"2025-11-24T01:32:13.644Z","24E124725E330668","Sanitaire 23","Batiment 3",99,406,46.5,16.9
"2025-11-24T01:32:40.972Z","24E124725E338876","Secretariat - 25","Batiment 3",93,416,44.5,15.4
"2025-11-24T01:33:11.262Z","24E124725E333857","S T P ","Batiment 3",93,437,44,16.4
"2025-11-24T01:33:37.970Z","24E124725E336493","Dépot 5","Bâtiment 6",88,343,52,15.3
"2025-11-24T01:34:10.274Z","24E124725E336046","SAM Prof 2 ","Batiment 3",93,269,47.5,17.6
"2025-11-24T01:34:43.321Z","24E124725E330652","Gardien - 29","Batiment 3",93,422,47.5,15.7
"2025-11-24T01:35:10.824Z","24E124725E339027","Classe 16","Bâtiment 6",87,426,39.5,18.3
"2025-11-24T01:35:12.142Z","24E124725E332014","Degagement - 15","Batiment 3",93,274,46.5,14.9
"2025-11-24T01:35:37.971Z","24E124725E331262","Classe 12","Batiment 5",92,416,43,15.6
"2025-11-24T01:35:40.385Z","24E124725E331454","Cantine","Batiment 1",93,391,47,17.1
"2025-11-24T01:36:10.676Z","24E124725E330593","Classe 10","Batiment 5",92,384,32.5,22.6
"2025-11-24T01:36:39.442Z","24E124725E339012","Conseiller - 18","Batiment 3",93,373,41,16.9
"2025-11-24T01:37:10.374Z","24E124725E330145","Reserve - 9 ","Batiment 2",99,495,46.5,18.6
"2025-11-24T01:37:15.162Z","24E124725E330837","Classe 5","Batiment 5",92,518,44,17.1
"2025-11-24T01:37:41.894Z","24E124725E331500","Labo - 8","Batiment 1",93,399,44,19
"2025-11-24T01:38:44.638Z","24E124725E331037","Salle de dessin 13","Batiment 5",93,398,42.5,17
"2025-11-24T01:39:13.232Z","24E124725E330689","Plonge","Batiment 2",99,173,55,14.7
"2025-11-24T01:39:15.281Z","24E124725E331618","Classe 1","Batiment 5",92,430,49.5,16.4
"2025-11-24T01:39:44.392Z","24E124725E331392","Salle des profs","Batiment 3",93,392,45.5,16
"2025-11-24T01:40:07.232Z","24E124725E338940","Sanitaire 1E - 5 ","Batiment 5",93,418,50.5,15.8
"2025-11-24T01:40:07.474Z","24E124725E330302","Classe 19","Bâtiment 6",87,458,46.5,16.3
"2025-11-24T01:40:10.613Z","24E124725E330664","Couloir 1e Bat 6","Bâtiment 6",88,426,50.5,15.9
"2025-11-24T01:40:12.241Z","24E124725E330738","Dépot 4 - 6","Bâtiment 6",87,226,52.5,14
"2025-11-24T01:40:38.543Z","24E124725E331437","Classe 8","Batiment 5",99,345,46,16
"2025-11-24T01:40:40.542Z","24E124725E331502","WC - 11","Batiment 1",93,398,47.5,19.2
"2025-11-24T01:41:09.243Z","24E124725E331504","Préau","Batiment 2",99,273,61,11.7
"2025-11-24T01:41:10.781Z","24E124725E331914","Orientation ","Batiment 3",93,384,49,17.6
"2025-11-24T01:41:13.800Z","24E124725E331515","Salle de réunion","Batiment 3",96,10000,43,16.6
"2025-11-24T01:41:40.064Z","24E124725E330109","Couloir RDC - 5 ","Batiment 5",98,387,48.5,16.1
"2025-11-24T01:42:38.834Z","24E124725E338938","Lingerie ","Batiment 3",93,358,47.5,16.1
"2025-11-24T01:42:42.162Z","24E124725E336466","Degagement - 3  bat 1","Batiment 1",93,467,51,17
"2025-11-24T01:43:06.260Z","24E124725E330658","Classe 30","Batiment 2",99,421,37,19.7
"2025-11-24T01:43:38.083Z","24E124725E333932","Classe 4","Bâtiment 5",92,660,47.5,15.9
"2025-11-24T01:43:40.323Z","24E124725E332202","Classe 18","Bâtiment 6",87,448,57,13.2
"2025-11-24T01:44:06.712Z","24E124725E330416","Salle des machines - 20","Batiment 3",93,407,44.5,17
"2025-11-24T01:44:41.450Z","24E124725E331472","Dépot 2 - 6","Bâtiment 6",87,411,43.5,18.2
"2025-11-24T01:45:10.761Z","24E124725E330455","Degagement 4 - 2","Batiment 2",100,214,49,15.4
"2025-11-24T01:45:11.202Z","24E124725E330755","Sanitaires Hommes 1E - 6 ","Bâtiment 6",87,505,54.5,14.7
"2025-11-24T01:45:11.341Z","24E124725E338930","Couloir bureaux","Batiment 3",99,393,43,16.3
"2025-11-24T01:45:13.901Z","24E124725E330878","Degagement 3 bat 3","Batiment 3",93,370,51,15.8
"2025-11-24T01:45:42.069Z","24E124725E331967","Classe 23","Bâtiment 6",87,409,46,16.1
"2025-11-24T01:46:38.711Z","24E124725E331405","Cuisine ","Batiment 2",99,437,51.5,15.8
"2025-11-24T01:46:38.973Z","24E124725E330535","Gestion - 30","Batiment 3",93,428,58,10.2
"2025-11-24T01:46:39.251Z","24E124725E330680","Classe 21","Bâtiment 6",86,512,40,18.9
"2025-11-24T01:47:11.674Z","24E124725E335373","Classe 2","Batiment 5",92,414,46,16.1
"2025-11-24T01:48:10.482Z","24E124725E331267","Entrée - 18","Batiment 2",99,458,50,17.1
"2025-11-24T01:48:43.775Z","24E124725E338949","Salle 31 ","Batiment 1",93,441,48.5,16.7
"2025-11-24T01:49:11.181Z","24E124725E330344","Sanitaire 22","Batiment 3",99,348,53,15.5
"2025-11-24T01:49:40.641Z","24E124725E335870","Classe 13","Batiment 5",92,391,45,16.2
"2025-11-24T01:49:43.585Z","24E124725E336083","Salle étude 2","Bâtiment 7",88,199,47,15.3
"2025-11-24T01:50:11.483Z","24E124725E330345","Salle de réunion - 32","Batiment 3",93,324,53,12.5
"2025-11-24T01:50:12.634Z","24E124725E331396","Salle 34","Batiment 1",99,380,48,16.1
"2025-11-24T01:51:08.443Z","24E124725E331912","Classe 11","Batiment 5",99,397,43,16.1
"2025-11-24T01:51:10.650Z","24E124725E331314","Vestiaire 6","Bâtiment 6",88,337,72,15
"2025-11-24T01:52:08.824Z","24E124725E331230","Soins","Batiment 3",93,310,46,15.9
"2025-11-24T01:52:11.771Z","24E124725E331330","Couloir RDC Bat 6","Bâtiment 6",87,373,50.5,16.1
"2025-11-24T01:52:41.522Z","24E124725E335166","Depot 9","Batiment 5",99,280,49.5,15.2
"2025-11-24T01:52:41.752Z","24E124725E330635","Principal adjoint - 24","Batiment 3",93,0,44.5,15.6
"2025-11-24T01:54:08.811Z","24E124725E336069","Salle 33","Batiment 1",93,325,47,18.4
"2025-11-24T01:54:08.923Z","24E124725E331272","Bureau CPE - 1","Batiment 4",93,425,43.5,17.7
"2025-11-24T01:54:40.475Z","24E124725E331398","Labo - 6","Batiment 1",93,375,55.5,15.6
"2025-11-24T01:54:44.092Z","24E124725E336062","Reserve 6","Batiment 2",99,419,30.5,26
"2025-11-24T01:55:06.323Z","24E124725E331960","Classe 22","Bâtiment 6",88,185,44.5,17.2
"2025-11-24T01:55:08.634Z","24E124725E330630","Dépot 2 - 7","Bâtiment 7",87,468,57,13.5
"2025-11-24T01:55:12.193Z","24E124725E330736","Salle étude 1","Batiment 8",98,305,57.5,10.5
"2025-11-24T01:55:42.214Z","24E124725E330427","Sanitaire - 9","Batiment 3",93,492,42.5,18.3
"2025-11-24T01:55:43.584Z","24E124725E330286","Classe 7","Batiment 5",93,336,43.5,16.1
"2025-11-24T01:56:07.443Z","24E124725E330532","Reserve - 11","Batiment 2",99,336,50.5,16.1
"2025-11-24T01:56:12.121Z","24E124725E331496","Classe 14","Batiment 5",93,441,44,16
"2025-11-24T01:56:33.711Z","24E124725E330620","Degagement 3 - 2","Batiment 2",99,380,43.5,16.5
"2025-11-24T01:57:09.611Z","24E124725E331183","WC Personnel -- 20","Batiment 2",99,303,51,16.1
"2025-11-24T01:57:11.545Z","24E124725E330753","SAM Prof 1 ","Batiment 3",99,425,47,17.5
"2025-11-24T01:57:12.162Z","24E124725E331235","Sanitaire RDC - 5 ","Batiment 5",98,383,47.5,16.2
"2025-11-24T01:57:42.944Z","24E124725E330953","CDI","Batiment 3",93,412,45,15.6
"2025-11-24T01:58:38.472Z","24E124725E330210","Vie scolaire - 3","Batiment 4",99,469,42,17.2
"2025-11-24T01:58:39.277Z","24E124725E331366","Classe 6","Batiment 5",93,377,42.5,16.7
"2025-11-24T01:58:40.152Z","24E124725E330612","Classe 3","Batiment 5",93,189,41,19.2
"2025-11-24T01:59:12.242Z","24E124725E331208","Classe 9","Batiment 5",92,437,41,16.9
"2025-11-24T01:59:12.571Z","24E124725E331241","Classe 17","Bâtiment 6",87,431,52,15.8
"2025-11-24T01:59:43.004Z","24E124725E331402","Sanitaires Dames 1E - 6 ","Bâtiment 6",87,431,53.5,15.5
"2025-11-24T02:00:16.032Z","24E124725E330429","Labo - 10","Batiment 1",93,272,52,15.9
"2025-11-24T02:00:38.354Z","24E124725E330537","Infirmerie ","Batiment 3",93,332,48,15.6
"2025-11-24T02:00:45.865Z","24E124725E331335","Atelier - 7","Batiment 4",93,290,52,14.6
"2025-11-24T02:01:12.683Z","24E124725E330011","WC - 12","Batiment 1",93,557,53.5,16.6
"2025-11-24T02:01:12.772Z","24E124725E338893","Direction - 26","Batiment 3",93,368,45.5,14.7
"2025-11-24T02:02:14.352Z","24E124725E330668","Sanitaire 23","Batiment 3",99,418,46.5,17.1
"2025-11-24T02:02:41.455Z","24E124725E338876","Secretariat - 25","Batiment 3",93,423,44.5,15.4
"2025-11-24T02:03:11.222Z","24E124725E333857","S T P ","Batiment 3",93,441,44,16.4
"2025-11-24T02:03:36.811Z","24E124725E336493","Dépot 5","Bâtiment 6",88,330,52,15.4
"2025-11-24T02:04:10.083Z","24E124725E336046","SAM Prof 2 ","Batiment 3",93,291,47,17.9
"2025-11-24T02:04:39.563Z","24E124725E332035","Salle de travail - 2","Batiment 4",93,298,38,20
"2025-11-24T02:04:40.292Z","24E124725E330652","Gardien - 29","Batiment 3",93,410,47.5,15.7
"2025-11-24T02:05:11.713Z","24E124725E332014","Degagement - 15","Batiment 3",93,264,47,14.8
"2025-11-24T02:05:13.883Z","24E124725E339027","Classe 16","Bâtiment 6",87,429,41,17.6
"2025-11-24T02:05:38.472Z","24E124725E331262","Classe 12","Batiment 5",92,418,43.5,15.6
"2025-11-24T02:05:39.204Z","24E124725E331454","Cantine","Batiment 1",93,389,47,17.3
"2025-11-24T02:06:08.333Z","24E124725E330593","Classe 10","Batiment 5",92,379,32.5,22.6
"2025-11-24T02:06:38.142Z","24E124725E339012","Conseiller - 18","Batiment 3",93,376,41,16.8
"2025-11-24T02:07:06.651Z","24E124725E330145","Reserve - 9 ","Batiment 2",99,502,46.5,18.6
"2025-11-24T02:07:13.084Z","24E124725E330837","Classe 5","Batiment 5",92,529,44.5,17.1
"2025-11-24T02:07:42.682Z","24E124725E331500","Labo - 8","Batiment 1",93,409,44.5,19
"2025-11-24T02:08:43.892Z","24E124725E331037","Salle de dessin 13","Batiment 5",93,395,43,16.6
"2025-11-24T02:09:10.592Z","24E124725E330689","Plonge","Batiment 2",99,176,55.5,14.7
"2025-11-24T02:09:14.202Z","24E124725E331618","Classe 1","Batiment 5",92,434,49.5,16.2
"2025-11-24T02:09:44.380Z","24E124725E331392","Salle des profs","Batiment 3",93,388,45.5,16
"2025-11-24T02:10:06.674Z","24E124725E338940","Sanitaire 1E - 5 ","Batiment 5",93,420,50,15.8
"2025-11-24T02:10:08.733Z","24E124725E330302","Classe 19","Bâtiment 6",87,450,47,16.3
"2025-11-24T02:10:09.815Z","24E124725E330664","Couloir 1e Bat 6","Bâtiment 6",88,423,51,15.9
"2025-11-24T02:10:09.973Z","24E124725E330738","Dépot 4 - 6","Bâtiment 6",87,226,52.5,14
"2025-11-24T02:10:36.812Z","24E124725E331437","Classe 8","Batiment 5",99,358,46,15.9
"2025-11-24T02:10:44.082Z","24E124725E331502","WC - 11","Batiment 1",93,404,47.5,19.2
"2025-11-24T02:11:09.693Z","24E124725E331515","Salle de réunion","Batiment 3",96,10000,43.5,16.4
"2025-11-24T02:11:11.765Z","24E124725E331914","Orientation ","Batiment 3",93,392,49.5,17.6
"2025-11-24T02:11:42.744Z","24E124725E330109","Couloir RDC - 5 ","Batiment 5",98,402,49,16.1
"2025-11-24T02:12:38.014Z","24E124725E338938","Lingerie ","Batiment 3",93,334,48,16.1
"2025-11-24T02:12:44.095Z","24E124725E336466","Degagement - 3  bat 1","Batiment 1",93,462,51,17
"2025-11-24T02:13:08.482Z","24E124725E330658","Classe 30","Batiment 2",99,420,37,19.7
"2025-11-24T02:13:36.761Z","24E124725E333932","Classe 4","Bâtiment 5",92,648,48,15.9
"2025-11-24T02:13:41.584Z","24E124725E332202","Classe 18","Bâtiment 6",87,459,57.5,13.2
"2025-11-24T02:14:07.094Z","24E124725E330416","Salle des machines - 20","Batiment 3",93,413,44.5,17
"2025-11-24T02:14:41.594Z","24E124725E331472","Dépot 2 - 6","Bâtiment 6",87,408,43.5,18.2
"2025-11-24T02:15:09.221Z","24E124725E330755","Sanitaires Hommes 1E - 6 ","Bâtiment 6",87,491,55,14.7
"2025-11-24T02:15:10.192Z","24E124725E338930","Couloir bureaux","Batiment 3",99,390,43,16.4
"2025-11-24T02:15:11.914Z","24E124725E330455","Degagement 4 - 2","Batiment 2",100,210,49,15.5
"2025-11-24T02:15:14.453Z","24E124725E330878","Degagement 3 bat 3","Batiment 3",93,376,51,15.8
"2025-11-24T02:15:40.082Z","24E124725E331967","Classe 23","Bâtiment 6",87,420,46,16.3
"2025-11-24T02:16:39.451Z","24E124725E330535","Gestion - 30","Batiment 3",93,429,58,10.3
"2025-11-24T02:16:40.922Z","24E124725E331405","Cuisine ","Batiment 2",99,435,52,15.9
"2025-11-24T02:16:41.104Z","24E124725E330680","Classe 21","Bâtiment 6",86,523,40,18.9
"2025-11-24T02:17:13.394Z","24E124725E335373","Classe 2","Batiment 5",92,411,46.5,16.1
"2025-11-24T02:18:12.442Z","24E124725E331267","Entrée - 18","Batiment 2",99,464,50,17.2
"2025-11-24T02:18:41.691Z","24E124725E338949","Salle 31 ","Batiment 1",93,451,48.5,16.8
"2025-11-24T02:19:07.522Z","24E124725E330344","Sanitaire 22","Batiment 3",99,361,53,15.6
"2025-11-24T02:19:41.196Z","24E124725E335870","Classe 13","Batiment 5",92,395,45,16.2
"2025-11-24T02:19:45.966Z","24E124725E336083","Salle étude 2","Bâtiment 7",88,217,47,15.5
"2025-11-24T02:20:10.024Z","24E124725E330345","Salle de réunion - 32","Batiment 3",93,317,53,12.4
"2025-11-24T02:20:12.404Z","24E124725E331396","Salle 34","Batiment 1",99,380,48,16.2
"2025-11-24T02:21:10.354Z","24E124725E331912","Classe 11","Batiment 5",99,395,43.5,16
"2025-11-24T02:21:11.462Z","24E124725E331314","Vestiaire 6","Bâtiment 6",88,352,72,15
"2025-11-24T02:22:13.281Z","24E124725E331330","Couloir RDC Bat 6","Bâtiment 6",87,377,50.5,16.1
"2025-11-24T02:22:38.682Z","24E124725E335166","Depot 9","Batiment 5",99,289,49.5,15.1
"2025-11-24T02:22:41.763Z","24E124725E330635","Principal adjoint - 24","Batiment 3",93,0,45,15.7
"2025-11-24T02:24:08.243Z","24E124725E331272","Bureau CPE - 1","Batiment 4",93,407,43.5,17.7
"2025-11-24T02:24:08.342Z","24E124725E336069","Salle 33","Batiment 1",93,317,47,18.4
"2025-11-24T02:24:42.174Z","24E124725E331398","Labo - 6","Batiment 1",93,377,55.5,15.6
"2025-11-24T02:24:42.805Z","24E124725E336062","Reserve 6","Batiment 2",99,416,30.5,26.1
"2025-11-24T02:24:43.123Z","24E124725E336091","Salle 32","Batiment 1",93,362,28,28.6
"2025-11-24T02:25:08.195Z","24E124725E330736","Salle étude 1","Batiment 8",98,300,53.5,12.4
"2025-11-24T02:25:08.753Z","24E124725E331960","Classe 22","Bâtiment 6",88,165,44.5,17.2
"2025-11-24T02:25:10.082Z","24E124725E330630","Dépot 2 - 7","Bâtiment 7",87,461,56.5,13.6
"2025-11-24T02:25:40.332Z","24E124725E330286","Classe 7","Batiment 5",93,331,43.5,16.2
"2025-11-24T02:25:41.782Z","24E124725E330427","Sanitaire - 9","Batiment 3",93,496,43,18.3
"2025-11-24T02:26:09.820Z","24E124725E330532","Reserve - 11","Batiment 2",99,348,51,16.2
"2025-11-24T02:26:10.545Z","24E124725E331496","Classe 14","Batiment 5",93,433,44.5,15.8
"2025-11-24T02:26:36.964Z","24E124725E330620","Degagement 3 - 2","Batiment 2",99,370,43.5,16.5
"2025-11-24T02:27:09.751Z","24E124725E331235","Sanitaire RDC - 5 ","Batiment 5",98,406,48,16.2
"2025-11-24T02:27:09.960Z","24E124725E330753","SAM Prof 1 ","Batiment 3",99,425,47,17.7
"2025-11-24T02:27:10.283Z","24E124725E331183","WC Personnel -- 20","Batiment 2",99,297,51.5,16.2
"2025-11-24T02:27:40.982Z","24E124725E330953","CDI","Batiment 3",93,411,45,15.6
"2025-11-24T02:28:38.784Z","24E124725E330210","Vie scolaire - 3","Batiment 4",99,476,42,17.3
"2025-11-24T02:28:40.505Z","24E124725E331366","Classe 6","Batiment 5",93,348,42.5,16.7
"2025-11-24T02:28:41.061Z","24E124725E330612","Classe 3","Batiment 5",93,194,41.5,19.2
"2025-11-24T02:29:13.642Z","24E124725E331208","Classe 9","Batiment 5",92,440,41.5,16.8
"2025-11-24T02:29:14.160Z","24E124725E331241","Classe 17","Bâtiment 6",87,431,51,16.5
"2025-11-24T02:29:42.392Z","24E124725E331402","Sanitaires Dames 1E - 6 ","Bâtiment 6",87,432,53.5,15.5
"2025-11-24T02:30:13.642Z","24E124725E330429","Labo - 10","Batiment 1",93,280,52,16
"2025-11-24T02:30:38.775Z","24E124725E330537","Infirmerie ","Batiment 3",93,349,48,15.6
"2025-11-24T02:30:43.291Z","24E124725E331335","Atelier - 7","Batiment 4",93,299,52,14.7
"2025-11-24T02:31:10.821Z","24E124725E338893","Direction - 26","Batiment 3",93,373,45.5,14.8
"2025-11-24T02:31:11.194Z","24E124725E330011","WC - 12","Batiment 1",93,544,54,16.6
"2025-11-24T02:32:11.222Z","24E124725E330668","Sanitaire 23","Batiment 3",99,414,46,17.3
"2025-11-24T02:32:42.015Z","24E124725E338876","Secretariat - 25","Batiment 3",93,422,44.5,15.6
"2025-11-24T02:33:10.474Z","24E124725E333857","S T P ","Batiment 3",93,432,44,16.4
"2025-11-24T02:33:40.205Z","24E124725E336493","Dépot 5","Bâtiment 6",88,343,52,15.5
"2025-11-24T02:34:13.421Z","24E124725E336046","SAM Prof 2 ","Batiment 3",93,284,47,18.1
